fecha	proyección 1 mes	proyección 15 días	proyección 1 semana
210602	10257209	10257209	10257209
210604	11002869	11002869	11002869
210608	11260175	11260175	11260175
210609	11552393	11552393	11552393
210610	11893951	11893951	11893951
210611	12250002	12250002	12250002
210614	12813055	12813055	12813055
210615	13007371	13007371	13007371
210616	13301010	13301010	13301010
210617	13641091	13641091	13641091
210618	13939564	13939564	13939564
210621	14431683	14431683	14431683
210622	14745736	14745736	14745736
210623	15138439	15138439	15138439
210624	15602526	15602526	15602526
210625	15894800	15894800	15894800
210628	16609913	16609913	16609913
210629	17088342	17088342	17088342
210630	17519587	17519587	17519587
210701	17990526	17990526	17990526
210702	18466362	18466362	18466362
210705	18517813.66	18862394.8	18919470.6
210706	18909447.78	19317832.15	19380978.8
210707	19301081.91	19773269.49	19842487
210708	19692716.03	20228706.84	20303995.2
210709	20084350.16	20684144.18	20765503.4
210712	20475984.28	21139581.53	21227011.6
210713	20867618.41	21595018.87	21688519.8
210714	21259252.53	22050456.22	22150028
210715	21650886.65	22505893.56	22611536.2
210716	22042520.78	22961330.91	23073044.4
210719	22434154.9	23416768.25	23534552.6
210720	22825789.03	23872205.6	23996060.8
210721	23217423.15	24327642.95	24457569
210722	23609057.28	24783080.29	24919077.2
210723	24000691.4	25238517.64	25380585.4
210726	24392325.53	25693954.98	25842093.6
210727	24783959.65	26149392.33	26303601.8
210728	25175593.78	26604829.67	26765110
210729	25567227.9	27060267.02	27226618.2
210730	25958862.03	27515704.36	27688126.4
210802	26350496.15	27971141.71	28149634.6
210803	26742130.28	28426579.05	28611142.8
210804	27133764.4	28882016.4	29072651
210805	27525398.52	29337453.75	29534159.2
210806	27917032.65	29792891.09	29995667.4
210809	28308666.77	30248328.44	30457175.6
210810	28700300.9	30703765.78	30918683.8
210811	29091935.02	31159203.13	31380192
210812	29483569.15	31614640.47	31841700.2
210813	29875203.27	32070077.82	32303208.4
210816	30266837.4	32525515.16	32764716.6
210817	30658471.52	32980952.51	33226224.8
210818	31050105.65	33436389.85	33687733
210819	31441739.77	33891827.2	34149241.2
210820	31833373.9	34347264.55	34610749.4
210823	32225008.02	34802701.89	35072257.6
210824	32616642.15	35258139.24	35533765.8
210825	33008276.27	35713576.58	35995274
210826	33399910.39	36169013.93	36456782.2
210827	33791544.52	36624451.27	36918290.4
210830	34183178.64	37079888.62	37379798.6
210831	34574812.77	37535325.96	37841306.8
210901	34966446.89	37990763.31	38302815
210902	35358081.02	38446200.65	38764323.2
210903	35749715.14	38901638	39225831.4
